"","Generation","Najlepszy_wynik","Åšrednia","Mediana"
"1",1,-10.9872542491826,-20.2587592553047,-21.0273525433794
"2",2,-7.18373206653688,-18.9124753842462,-19.8986767687703
"3",3,-6.41743412707416,-17.2854674346602,-18.3884380752118
"4",4,-4.88016189977297,-15.1707222921191,-16.2149467415243
"5",5,-4.39524711112508,-12.7380309220601,-13.2251311097555
"6",6,-3.43137146850005,-10.1072951871009,-10.3078412858582
"7",7,-2.5463256370553,-8.18933495287143,-8.18083775714941
"8",8,-2.16147803785643,-6.66633112868762,-6.68432777846239
"9",9,-1.56549828919718,-5.27600909027993,-5.32312576102948
"10",10,-1.31741274970992,-4.33922526476108,-4.33702711663372
"11",11,-0.709086857683529,-3.55021508433183,-3.54518551682221
"12",12,-0.585729294419553,-3.01195753715141,-2.89206798881947
"13",13,-0.402153228809643,-2.43745627416318,-2.33679581999538
"14",14,-0.296817994912186,-1.93193466630005,-1.69592807651758
"15",15,-0.184728990984502,-1.38693297918583,-1.31885944954476
"16",16,-0.168077976797732,-1.1019434943423,-0.989157385324597
"17",17,-0.0612590550272028,-0.750801153321845,-0.659687819200008
"18",18,-0.0532024652769323,-0.539437371788173,-0.409629338033199
"19",19,-0.0407744313507493,-0.386359952673656,-0.271782946416361
"20",20,-0.0340538582446552,-0.417667361937933,-0.197143963008125
"21",21,-0.0288355150493125,-0.27807026520836,-0.147215718558993
"22",22,-0.0234820292122574,-0.370229389025473,-0.107378054579484
"23",23,-0.0196417566888929,-0.274649660765151,-0.0830971314679441
"24",24,-0.0179174274613953,-0.273056987917425,-0.0632289991037645
"25",25,-0.017357336584821,-0.106690514430438,-0.0500722866559522
"26",26,-0.0154619613446872,-0.150116280325964,-0.0345913443204902
"27",27,-0.0127617243544069,-0.106784371483914,-0.026415995401427
"28",28,-0.0115799145427445,-0.279157453844285,-0.022074260411625
"29",29,-0.0109517141074047,-0.276110995346858,-0.01916165614376
"30",30,-0.0107660750754714,-0.167712691665384,-0.0170043052219308
"31",31,-0.0106412463454216,-0.237330277460714,-0.0152336602030099
"32",32,-0.0102695861845984,-0.290316158497359,-0.0138284751503493
"33",33,-0.0102432318609051,-0.32521635069333,-0.0125496953599775
"34",34,-0.0101571969264445,-0.214047181942808,-0.0117418304876308
"35",35,-0.0098590593165941,-0.162367743398916,-0.011123810024417
"36",36,-0.00983671668125012,-0.29637681155481,-0.0107505732605979
"37",37,-0.00980949838675507,-0.293324143717663,-0.0104976399369901
"38",38,-0.00972071761832574,-0.282483724949733,-0.0101937565601306
"39",39,-0.00969718561726012,-0.156586391547896,-0.0100299248016485
"40",40,-0.00967609828788873,-0.255895111919879,-0.00992872052843676
"41",41,-0.0096723954287981,-0.199690960744937,-0.00987097428089783
"42",42,-0.00966464632819708,-0.1506602153389,-0.00981631960920346
"43",43,-0.00965820227663592,-0.139080730528923,-0.00977471662896861
"44",44,-0.00964808829107717,-0.211037720472973,-0.00973120744665703
"45",45,-0.00964590396066392,-0.392555852463385,-0.00970402124989605
"46",46,-0.00964576050351376,-0.135899524245491,-0.00968614109861949
"47",47,-0.00964403918395043,-0.265042852793447,-0.00967477400756262
"48",48,-0.00964399488453935,-0.255030439566273,-0.00966745856646991
"49",49,-0.00964285124851045,-0.278826233971499,-0.0096604785676881
"50",50,-0.00964242248725888,-0.219260081230837,-0.00965550834997764
"51",51,-0.00964215167091638,-0.307566884375802,-0.00965274960167122
"52",52,-0.00964203020398884,-0.295114837721878,-0.00965030275096925
"53",53,-0.00964176139700967,-0.286324625443226,-0.00964865522822897
"54",54,-0.00964129190466387,-0.277802657598384,-0.00964664936260782
"55",55,-0.00964060028419489,-0.404056748089805,-0.00964552096961633
"56",56,-0.00964044776430839,-0.284132266739352,-0.00964421257549208
"57",57,-0.00963923845767667,-0.100822687809035,-0.00964326332938974
"58",58,-0.00963923845767667,-0.268227998852063,-0.00964261365572217
"59",59,-0.00963921189269286,-0.114485449590726,-0.00964217324693699
"60",60,-0.00963916938954483,-0.205025063678937,-0.00964170658541636
"61",61,-0.0096391383098954,-0.227048613982299,-0.00964097130016857
"62",62,-0.0096391383098954,-0.273445231031838,-0.00964060103666196
"63",63,-0.00963913799072422,-0.0277648868202685,-0.00964035490272774
"64",64,-0.00963903592472448,-0.351537111880631,-0.00964000087778043
"65",65,-0.00963903390908669,-0.194794162917235,-0.00963980357745786
"66",66,-0.00963862204703361,-0.135373274208417,-0.00963956851134196
"67",67,-0.00963861905737637,-0.275902971258839,-0.00963945894091456
"68",68,-0.00963843689396846,-0.339687469253532,-0.00963933663380985
"69",69,-0.00963843428877844,-0.213216985912789,-0.0096392259860405
"70",70,-0.00963843200899461,-0.195809853366739,-0.00963902711823632
"71",71,-0.00963833040016517,-0.218546498153693,-0.00963881445225692
"72",72,-0.00963832949885095,-0.376697898321136,-0.00963869074596495
"73",73,-0.0096383293537528,-0.148750390860132,-0.00963863992356355
"74",74,-0.0096383284823478,-0.259201411975193,-0.00963860888198322
"75",75,-0.0096383281240179,-0.083836565707058,-0.00963857032779209
"76",76,-0.00963832787873606,-0.0483296114140082,-0.00963852537897658
"77",77,-0.00963828539197316,-0.258400435986285,-0.00963847098219119
"78",78,-0.0096382853083071,-0.307964871929816,-0.00963844071659548
"79",79,-0.00963828494603476,-0.196352520147919,-0.00963842589463155
"80",80,-0.00963828488077247,-0.443392044034079,-0.00963840369276365
"81",81,-0.00963828473681048,-0.351297228198491,-0.00963837887968531
"82",82,-0.00963828447185513,-0.137893904413346,-0.00963835467322465
"83",83,-0.00963828446471489,-0.183182464725517,-0.00963833375331227
"84",84,-0.00963828446260955,-0.416622082973417,-0.009638325131065
"85",85,-0.00963828374123459,-0.242787895025869,-0.00963831805957813
"86",86,-0.00963828371205686,-0.242617598484313,-0.00963831207279249
"87",87,-0.00963828327227638,-0.325469704823299,-0.00963830926970477
"88",88,-0.00963828326873717,-0.33760780888814,-0.00963830624596547
"89",89,-0.00963828326476737,-0.340241538784756,-0.00963829755037118
"90",90,-0.0096382832625256,-0.171779015896748,-0.00963829384331181
"91",91,-0.00963828325413303,-0.153222886006464,-0.00963828974933403
"92",92,-0.00963828325187954,-0.13827989223338,-0.00963828823196735
"93",93,-0.00963828324649718,-0.239797815164927,-0.00963828740648651
"94",94,-0.00963828324623002,-0.278297572105572,-0.00963828623516747
"95",95,-0.00963828324572589,-0.137213532348951,-0.00963828561329816
"96",96,-0.00963828324347666,-0.0950629672102974,-0.00963828503779371
"97",97,-0.00963828324293878,-0.475472533107422,-0.00963828427243953
"98",98,-0.0096382829097486,-0.280783432697197,-0.00963828402142521
"99",99,-0.00963828290974789,-0.196617450612569,-0.00963828390602561
"100",100,-0.00963828290967754,-0.182985442758328,-0.00963828377224054
"101",101,-0.00963828252601218,-0.135563106722031,-0.00963828360893988
"102",102,-0.00963828252598589,-0.22954521805677,-0.00963828349896243
"103",103,-0.00963828252584378,-0.207573527053717,-0.00963828332150882
"104",104,-0.00963828251566561,-0.139359459958074,-0.00963828316744788
"105",105,-0.0096382825036244,-0.212902300824262,-0.00963828303578822
"106",106,-0.00963828250362404,-0.0823763358312352,-0.0096382829466533
"107",107,-0.00963828250356329,-0.11995730436629,-0.00963828291018256
"108",108,-0.00963828242675575,-0.172809265669773,-0.00963828286025628
"109",109,-0.00963828242648681,-0.149510914996687,-0.00963828279825911
"110",110,-0.00963828242605658,-0.252036693352286,-0.00963828274563952
"111",111,-0.00963828242605658,-0.217886102908716,-0.00963828269752831
"112",112,-0.00963828242603313,-0.186280047879697,-0.00963828263745139
"113",113,-0.00963828242603313,-0.184290462985441,-0.00963828260588286
"114",114,-0.00963828242603242,-0.226490803853056,-0.00963828257464545
"115",115,-0.00963828242597629,-0.187401044939889,-0.0096382825510501
"116",116,-0.00963828242597415,-0.281252348144473,-0.00963828252943824
"117",117,-0.00963828242597344,-0.154176019409007,-0.00963828251493091
"118",118,-0.0096382824259635,-0.173194137887759,-0.00963828250397753
"119",119,-0.0096382824259635,-0.152295405573775,-0.00963828249520748
"120",120,-0.00963828242573257,-0.238248130905825,-0.00963828248541301
"121",121,-0.00963828242573257,-0.223429509177419,-0.00963828246941389
"122",122,-0.00963828242572689,-0.243127602997673,-0.00963828245490603
"123",123,-0.00963828242572689,-0.181017267127059,-0.00963828244757892
"124",124,-0.0096382824256434,-0.391254657794634,-0.00963828244292113
"125",125,-0.0096382824256434,-0.227964341036972,-0.00963828243977662
"126",126,-0.00963828242561284,-0.235318898291094,-0.0096382824380786
"127",127,-0.00963828242561284,-0.141310993123278,-0.0096382824347792
"128",128,-0.00963828242560041,-0.0898759252361781,-0.00963828243249747
"129",129,-0.00963828242559614,-0.244153315956114,-0.0096382824312224
"130",130,-0.00963828242559614,-0.557486806010519,-0.00963828242976312
"131",131,-0.00963828242559472,-0.283245352744688,-0.00963828242889946
"132",132,-0.00963828242555529,-0.320404675752911,-0.00963828242835127
"133",133,-0.00963828242555493,-0.143777082440036,-0.00963828242814202
"134",134,-0.00963828242555493,-0.167000668816637,-0.00963828242781695
"135",135,-0.00963828242554605,-0.322938640220303,-0.00963828242738209
"136",136,-0.00963828242554605,-0.283858399561986,-0.00963828242699538
"137",137,-0.00963828242554037,-0.104046023810995,-0.00963828242663407
"138",138,-0.00963828242554037,-0.199642439514838,-0.00963828242634523
"139",139,-0.00963828242554037,-0.121586131752825,-0.00963828242610934
"140",140,-0.00963828242554001,-0.312378993977364,-0.00963828242601217
"141",141,-0.00963828242554001,-0.10655564652038,-0.00963828242591855
"142",142,-0.00963828242554001,-0.163523359222584,-0.00963828242584643
"143",143,-0.00963828242552971,-0.127399316943,-0.00963828242575957
"144",144,-0.00963828242552971,-0.175775329019114,-0.0096382824257093
"145",145,-0.00963828242552829,-0.163946946714324,-0.00963828242568479
"146",146,-0.00963828242552829,-0.141914964403165,-0.00963828242565068
"147",147,-0.00963828242552829,-0.176492504198112,-0.00963828242562883
"148",148,-0.00963828242552829,-0.250247094784159,-0.0096382824256132
"149",149,-0.00963828242552829,-0.252233564576228,-0.00963828242560219
"150",150,-0.00963828242552829,-0.275915830134767,-0.00963828242558513
"151",151,-0.00963828242552829,-0.228133039206366,-0.00963828242557234
"152",152,-0.00963828242552829,-0.392455725434752,-0.00963828242556417
"153",153,-0.00963828242552758,-0.160924072224286,-0.00963828242555636
"154",154,-0.00963828242552758,-0.481493785725796,-0.0096382824255512
"155",155,-0.00963828242552758,-0.290191108600124,-0.00963828242554854
"156",156,-0.00963828242552758,-0.379130984347466,-0.00963828242554357
"157",157,-0.00963828242552758,-0.130852057843292,-0.00963828242554037
"158",158,-0.00963828242552758,-0.259846574115065,-0.00963828242553682
"159",159,-0.00963828242552722,-0.309645170762972,-0.0096382824255361
"160",160,-0.00963828242552722,-0.159493511859849,-0.00963828242553433
"161",161,-0.00963828242552722,-0.0604654963749923,-0.00963828242553326
"162",162,-0.00963828242552722,-0.320830964194543,-0.00963828242553113
"163",163,-0.00963828242552722,-0.221535608300407,-0.00963828242552989
"164",164,-0.00963828242552722,-0.209385210723506,-0.009638282425529
"165",165,-0.00963828242552722,-0.0587665560281183,-0.00963828242552847
"166",166,-0.00963828242552722,-0.318388462454988,-0.00963828242552793
"167",167,-0.00963828242552722,-0.328359852766155,-0.00963828242552793
"168",168,-0.00963828242552722,-0.30601047050223,-0.00963828242552758
"169",169,-0.00963828242552722,-0.0627221841252988,-0.00963828242552758
"170",170,-0.00963828242552722,-0.157535197260794,-0.00963828242552758
"171",171,-0.00963828242552687,-0.168059055082427,-0.00963828242552722
"172",172,-0.00963828242552687,-0.0792745595724959,-0.00963828242552722
"173",173,-0.00963828242552687,-0.0799886731219481,-0.00963828242552722
"174",174,-0.00963828242552687,-0.185766165891562,-0.00963828242552722
"175",175,-0.00963828242552687,-0.290856263232202,-0.00963828242552722
"176",176,-0.00963828242552687,-0.182878056120715,-0.00963828242552722
"177",177,-0.00963828242552687,-0.228521213011648,-0.00963828242552722
"178",178,-0.00963828242552687,-0.306355666919844,-0.00963828242552722
"179",179,-0.00963828242552687,-0.224413418426698,-0.00963828242552722
"180",180,-0.00963828242552687,-0.323516238138258,-0.00963828242552722
"181",181,-0.00963828242552687,-0.20951959287485,-0.00963828242552722
"182",182,-0.00963828242552687,-0.0907937767914362,-0.00963828242552722
"183",183,-0.00963828242552687,-0.256762859050188,-0.00963828242552722
"184",184,-0.00963828242552687,-0.160713198025698,-0.00963828242552722
"185",185,-0.00963828242552687,-0.413410639552525,-0.00963828242552722
"186",186,-0.00963828242552687,-0.233865367603624,-0.00963828242552722
"187",187,-0.00963828242552687,-0.35166561960001,-0.00963828242552722
"188",188,-0.00963828242552687,-0.153925720047992,-0.00963828242552722
"189",189,-0.00963828242552687,-0.273589964447416,-0.00963828242552722
"190",190,-0.00963828242552687,-0.295325889099526,-0.00963828242552722
"191",191,-0.00963828242552687,-0.224517269441434,-0.00963828242552687
"192",192,-0.00963828242552687,-0.280397582282993,-0.00963828242552687
"193",193,-0.00963828242552687,-0.135793726991653,-0.00963828242552687
"194",194,-0.00963828242552687,-0.157727570084999,-0.00963828242552687
"195",195,-0.00963828242552687,-0.237832592991814,-0.00963828242552687
"196",196,-0.00963828242552687,-0.255480012612981,-0.00963828242552687
"197",197,-0.00963828242552687,-0.278309679647027,-0.00963828242552687
"198",198,-0.00963828242552687,-0.231749622936576,-0.00963828242552687
"199",199,-0.00963828242552687,-0.193320814651742,-0.00963828242552687
"200",200,-0.00963828242552687,-0.172754679699495,-0.00963828242552687
"201",201,-0.00963828242552687,-0.501052605127102,-0.00963828242552687
"202",202,-0.00963828242552687,-0.130171869414529,-0.00963828242552687
"203",203,-0.00963828242552687,-0.169853949572232,-0.00963828242552687
"204",204,-0.00963828242552687,-0.20692319107485,-0.00963828242552687
"205",205,-0.00963828242552687,-0.143009783838349,-0.00963828242552687
